日期,價格(元/公斤),上價_lag1,上價_lag7,上價_lag14,上價_ma3,上價_ma7,中價_lag1,中價_lag7,中價_lag14,中價_ma3,中價_ma7,下價_lag1,下價_lag7,下價_lag14,下價_ma3,下價_ma7,價格區間_lag1,價格區間_lag7,價格區間_lag14,價格區間_ma3,價格區間_ma7,交易量(公斤)_lag1,交易量(公斤)_lag7,交易量(公斤)_lag14,交易量(公斤)_ma3,交易量(公斤)_ma7,價格(元/公斤)_lag1,價格(元/公斤)_lag7,價格(元/公斤)_lag14,氣溫(℃)_lag1d,最高氣溫(℃)_lag1d,最低氣溫(℃)_lag1d,日照時數(hour)_lag1d,降水量(mm)_lag1d,降水時數(hour)_lag1d,相對溼度(%)_lag1d,最大陣風(m/s)_lag1d,氣溫(℃)_rollmean_3d_prev,氣溫(℃)_rollmax_3d_prev,氣溫(℃)_rollmin_3d_prev,氣溫(℃)_rollmean_7d_prev,氣溫(℃)_rollmax_7d_prev,氣溫(℃)_rollmin_7d_prev,氣溫(℃)_rollmean_15d_prev,氣溫(℃)_rollmax_15d_prev,氣溫(℃)_rollmin_15d_prev,氣溫(℃)_rollmean_30d_prev,氣溫(℃)_rollmax_30d_prev,氣溫(℃)_rollmin_30d_prev,最高氣溫(℃)_rollmean_3d_prev,最高氣溫(℃)_rollmax_3d_prev,最高氣溫(℃)_rollmin_3d_prev,最高氣溫(℃)_rollmean_7d_prev,最高氣溫(℃)_rollmax_7d_prev,最高氣溫(℃)_rollmin_7d_prev,最高氣溫(℃)_rollmean_15d_prev,最高氣溫(℃)_rollmax_15d_prev,最高氣溫(℃)_rollmin_15d_prev,最高氣溫(℃)_rollmean_30d_prev,最高氣溫(℃)_rollmax_30d_prev,最高氣溫(℃)_rollmin_30d_prev,最低氣溫(℃)_rollmean_3d_prev,最低氣溫(℃)_rollmax_3d_prev,最低氣溫(℃)_rollmin_3d_prev,最低氣溫(℃)_rollmean_7d_prev,最低氣溫(℃)_rollmax_7d_prev,最低氣溫(℃)_rollmin_7d_prev,最低氣溫(℃)_rollmean_15d_prev,最低氣溫(℃)_rollmax_15d_prev,最低氣溫(℃)_rollmin_15d_prev,最低氣溫(℃)_rollmean_30d_prev,最低氣溫(℃)_rollmax_30d_prev,最低氣溫(℃)_rollmin_30d_prev,日照時數(hour)_rollmean_3d_prev,日照時數(hour)_rollmax_3d_prev,日照時數(hour)_rollmin_3d_prev,日照時數(hour)_rollmean_7d_prev,日照時數(hour)_rollmax_7d_prev,日照時數(hour)_rollmin_7d_prev,日照時數(hour)_rollmean_15d_prev,日照時數(hour)_rollmax_15d_prev,日照時數(hour)_rollmin_15d_prev,日照時數(hour)_rollmean_30d_prev,日照時數(hour)_rollmax_30d_prev,日照時數(hour)_rollmin_30d_prev,相對溼度(%)_rollmean_3d_prev,相對溼度(%)_rollmax_3d_prev,相對溼度(%)_rollmin_3d_prev,相對溼度(%)_rollmean_7d_prev,相對溼度(%)_rollmax_7d_prev,相對溼度(%)_rollmin_7d_prev,相對溼度(%)_rollmean_15d_prev,相對溼度(%)_rollmax_15d_prev,相對溼度(%)_rollmin_15d_prev,相對溼度(%)_rollmean_30d_prev,相對溼度(%)_rollmax_30d_prev,相對溼度(%)_rollmin_30d_prev,最大陣風(m/s)_rollmean_3d_prev,最大陣風(m/s)_rollmax_3d_prev,最大陣風(m/s)_rollmin_3d_prev,最大陣風(m/s)_rollmean_7d_prev,最大陣風(m/s)_rollmax_7d_prev,最大陣風(m/s)_rollmin_7d_prev,最大陣風(m/s)_rollmean_15d_prev,最大陣風(m/s)_rollmax_15d_prev,最大陣風(m/s)_rollmin_15d_prev,最大陣風(m/s)_rollmean_30d_prev,最大陣風(m/s)_rollmax_30d_prev,最大陣風(m/s)_rollmin_30d_prev,降水量(mm)_rollsum_3d_prev,降水量(mm)_rollsum_7d_prev,降水量(mm)_rollsum_15d_prev,降水量(mm)_rollsum_30d_prev,降水時數(hour)_rollsum_3d_prev,降水時數(hour)_rollsum_7d_prev,降水時數(hour)_rollsum_15d_prev,降水時數(hour)_rollsum_30d_prev,daily_temp_range_prev,is_cold_wave_prev,is_strong_cold_prev,is_frost_risk_prev,is_strong_wind_prev,is_heavy_rain_prev,rainy_day_prev,consec_rainy_days_prev,month,month_sin,month_cos,is_winter,weekday,is_weekend,is_mon,is_fri
107/11/01,39.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.450000000000003,26.1,19.25,,0.0,,85.5,10.55,21.25,22.05,20.25,22.07857142857143,24.25,20.05,22.790000000000003,24.25,20.05,23.54666666666667,25.7,20.05,27.4,28.85,26.1,27.742857142857144,30.2,25.75,27.96,30.2,24.4,28.375,31.15,24.4,16.633333333333333,19.25,14.7,17.892857142857142,21.3,14.7,19.056666666666665,21.6,14.7,20.105,23.15,14.7,,,,,,,,,,,,,71.16666666666667,85.5,59.5,72.64285714285714,86.0,55.5,78.76666666666667,89.0,55.5,80.28333333333333,91.0,55.5,9.566666666666666,10.6,7.55,9.892857142857142,14.05,6.7,8.94,14.05,6.7,9.115,17.25,6.5,0.0,0.0,0.75,1.0,,,,,6.850000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,3,0,0,0
107/11/02,47.03842105263158,50.565,,,,,39.22,,,,,27.23,,,,,23.335,,,,,2174.95,,,,,39.067,,,20.0,21.950000000000003,18.7,,0.5,,87.5,10.95,21.166666666666668,22.05,20.0,21.47142857142857,24.25,20.0,22.60333333333333,24.25,20.0,23.42,25.7,20.0,25.633333333333336,28.85,21.950000000000003,26.564285714285717,29.200000000000003,21.950000000000003,27.79666666666667,30.2,21.950000000000003,28.14,31.15,21.950000000000003,17.96666666666667,19.25,15.95,17.67142857142857,21.3,14.7,18.926666666666662,21.6,14.7,20.046666666666667,23.15,14.7,,,,,,,,,,,,,80.5,87.5,68.5,72.92857142857143,87.5,55.5,78.66666666666667,87.5,55.5,80.8,91.0,55.5,9.683333333333334,10.95,7.55,10.5,14.05,7.55,8.97,14.05,6.7,9.12,17.25,6.5,0.5,0.5,1.0,1.5,,,,,3.250000000000004,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,4,0,0,1
107/11/03,45.52368421052632,57.15263157894737,,,,,47.45789473684211,,,,,36.04736842105263,,,,,21.10526315789474,,,,,1999.684210526316,,,,,47.03842105263158,,,21.5,24.9,19.4,,0.25,,93.5,7.5,20.98333333333333,21.5,20.0,21.07857142857143,22.25,20.0,22.46333333333333,24.25,20.0,23.34666666666667,25.7,20.0,24.316666666666663,26.1,21.950000000000003,25.95,28.85,21.950000000000003,27.57,30.2,21.950000000000003,28.00333333333333,31.15,21.950000000000003,19.116666666666664,19.4,18.7,17.4,19.4,14.7,18.860000000000003,21.6,14.7,20.05,23.15,14.7,,,,,,,,,,,,,88.83333333333333,93.5,85.5,74.0,93.5,55.5,79.53333333333333,93.5,55.5,81.63333333333334,93.5,55.5,9.666666666666666,10.95,7.5,10.435714285714283,14.05,7.5,8.933333333333334,14.05,6.7,8.943333333333333,17.25,6.5,0.75,0.75,1.25,1.75,,,,,5.5,0.0,0.0,0.0,0.0,0.0,1.0,2.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,5,1,0,0
107/11/04,43.36578947368421,58.63684210526316,,,55.451491228070175,,45.53157894736842,,,44.06982456140352,,32.83157894736842,,,32.03631578947368,,25.805263157894736,,,23.41517543859649,,2730.2105263157896,,,2301.614912280702,,45.52368421052632,,,23.55,29.1,19.75,,0.0,,89.5,8.5,21.683333333333337,23.55,20.0,21.264285714285712,23.55,20.0,22.48,24.25,20.0,23.35833333333333,25.7,20.0,25.316666666666663,29.1,21.950000000000003,26.271428571428576,29.1,21.950000000000003,27.610000000000003,30.2,21.950000000000003,28.09,31.15,21.950000000000003,19.28333333333333,19.75,18.7,17.721428571428568,19.75,14.7,18.87,21.6,14.7,20.01333333333333,23.15,14.7,,,,,,,,,,,,,90.16666666666669,93.5,87.5,77.07142857142857,93.5,55.5,80.06666666666666,93.5,55.5,82.06666666666666,93.5,55.5,8.983333333333333,10.95,7.5,9.642857142857142,11.85,7.5,8.946666666666665,14.05,6.7,8.651666666666667,14.05,6.5,0.75,0.75,0.75,1.75,,,,,9.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,6,1,0,0
107/11/05,39.3,55.95789473684211,,,57.24912280701755,,43.47368421052632,,,45.48771929824562,,30.305263157894736,,,33.061403508771924,,25.65263157894737,,,24.18771929824561,,2647.315789473684,,,2459.070175438597,,43.36578947368421,,,24.2,29.15,21.700000000000003,,0.0,,88.5,7.35,23.08333333333333,24.2,21.5,21.85714285714286,24.2,20.0,22.586666666666662,24.25,20.0,23.358333333333334,25.7,20.0,27.71666666666667,29.15,24.9,26.75714285714286,29.15,21.950000000000003,27.65333333333333,30.2,21.950000000000003,28.13,31.15,21.950000000000003,20.28333333333333,21.700000000000003,19.4,18.492857142857144,21.700000000000003,14.7,19.043333333333333,21.700000000000003,14.7,20.055000000000003,23.15,14.7,,,,,,,,,,,,,90.5,93.5,88.5,81.78571428571429,93.5,59.5,80.46666666666667,93.5,55.5,82.63333333333334,93.5,55.5,7.783333333333334,8.5,7.35,9.0,10.95,7.35,8.91,14.05,6.7,8.526666666666666,14.05,6.5,0.25,0.75,0.75,1.75,,,,,7.449999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,0,0,1,0
107/11/06,35.84238095238096,52.5,,,55.698245614035095,,39.7,,,42.90175438596492,,25.0,,,29.37894736842105,,27.5,,,26.31929824561404,,17166.0,,,7514.508771929824,,39.3,,,24.15,29.2,20.6,,0.0,,89.0,6.7,23.96666666666667,24.2,23.55,22.41428571428571,24.2,20.0,22.65,24.25,20.0,23.30666666666667,25.6,20.0,29.15,29.2,29.1,27.03571428571429,29.2,21.950000000000003,27.613333333333333,30.2,21.950000000000003,28.078333333333333,31.15,21.950000000000003,20.683333333333337,21.700000000000003,19.75,19.335714285714285,21.700000000000003,15.95,19.17,21.700000000000003,14.7,20.00333333333333,23.15,14.7,,,,,,,,,,,,,89.0,89.5,88.5,86.0,93.5,68.5,81.0,93.5,55.5,82.96666666666667,93.5,55.5,7.516666666666667,8.5,6.7,8.442857142857141,10.95,6.7,8.856666666666666,14.05,6.7,8.533333333333333,14.05,6.5,0.0,0.75,0.75,1.75,,,,,8.599999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,1,0,0,0
107/11/07,30.195,49.84761904761905,,,52.76850459482038,,35.404761904761905,,,39.52614870509608,,23.04285714285714,,,26.11604010025063,,26.804761904761907,,,26.65246449456976,,5013.571428571428,,,8275.629072681704,,35.84238095238096,,,24.55,29.45,22.05,,0.0,,90.5,4.5,24.3,24.55,24.15,22.77142857142857,24.55,20.0,22.68,24.55,20.0,23.298333333333336,25.6,20.0,29.266666666666666,29.45,29.15,27.12142857142857,29.45,21.950000000000003,27.65,30.2,21.950000000000003,28.085,31.15,21.950000000000003,21.450000000000003,22.05,20.6,20.207142857142856,22.05,18.7,19.28333333333333,22.05,14.7,20.00333333333333,23.15,14.7,,,,,,,,,,,,,89.33333333333333,90.5,88.5,89.14285714285714,93.5,85.5,81.33333333333333,93.5,55.5,83.21666666666667,93.5,55.5,6.183333333333334,7.35,4.5,8.007142857142856,10.95,4.5,8.666666666666666,14.05,4.5,8.411666666666667,14.05,4.5,0.0,0.75,0.75,1.75,,,,,7.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,2,0,0,0
107/11/08,25.735000000000003,43.15909090909091,50.565,,48.502236652236654,52.54558262539466,29.63636363636364,39.22,,34.913708513708514,40.06061191940891,18.327272727272728,27.23,,22.123376623376625,27.540620056635092,24.83181818181818,23.335,,26.37886002886003,25.004962568759563,4826.272727272727,2174.95,,9001.948051948051,5222.572097451421,30.195,39.067,,24.0,28.05,21.8,,0.0,,92.0,5.75,24.23333333333333,24.55,24.0,23.135714285714283,24.55,20.0,22.676666666666662,24.55,20.0,23.261666666666667,25.6,20.0,28.9,29.45,28.05,27.4,29.45,21.950000000000003,27.633333333333333,30.2,21.950000000000003,28.00333333333333,31.15,21.950000000000003,21.48333333333333,22.05,20.6,20.571428571428573,22.05,18.7,19.296666666666667,22.05,14.7,20.02,23.15,14.7,,,,,,,,,,,,,90.5,92.0,89.0,90.07142857142857,93.5,87.5,81.66666666666667,93.5,55.5,83.45,93.5,55.5,5.65,6.7,4.5,7.321428571428571,10.95,4.5,8.493333333333334,14.05,4.5,8.335,14.05,4.5,0.0,0.75,0.75,1.75,,,,,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,3,0,0,0
107/11/09,22.212631578947367,36.095,57.15263157894737,,43.03390331890332,50.4784397682518,25.335,47.45789473684211,,30.125375180375183,38.07704049083748,16.4,36.04736842105263,,19.25670995670996,25.99347719949224,19.695,21.10526315789474,,23.77719336219336,24.48496256875956,4827.4,1999.684210526316,,4889.081385281385,5601.49352602285,25.735000000000003,47.03842105263158,,24.9,30.0,22.35,,0.0,,85.5,4.85,24.48333333333333,24.9,24.0,23.835714285714285,24.9,21.5,22.76,24.9,20.0,23.241666666666667,25.6,20.0,29.166666666666668,30.0,28.05,28.550000000000004,30.0,24.9,27.73333333333333,30.2,21.950000000000003,28.013333333333332,31.15,21.950000000000003,22.066666666666663,22.35,21.8,21.092857142857145,22.35,19.4,19.44,22.35,14.7,20.03166666666667,23.15,14.7,,,,,,,,,,,,,89.33333333333333,92.0,85.5,89.78571428571429,93.5,85.5,81.63333333333334,93.5,55.5,83.43333333333334,93.5,55.5,5.033333333333334,5.75,4.5,6.45,8.5,4.5,8.356666666666666,14.05,4.5,8.28,14.05,4.5,0.0,0.25,0.75,1.75,,,,,7.649999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,4,0,0,1
107/11/10,24.233,31.44210526315789,58.63684210526316,,36.89873205741626,46.80550743742474,21.88421052631579,45.53157894736842,,25.618524720893145,34.42365703219087,13.921052631578949,32.83157894736842,,16.21610845295056,22.832574943853142,17.521052631578947,25.805263157894736,,20.682623604465707,23.97293249357159,4973.421052631579,2730.2105263157896,,4875.697926634769,6026.31307489503,22.212631578947367,45.52368421052632,,23.8,29.45,20.9,,0.0,,88.0,7.449999999999999,24.23333333333333,24.9,23.8,24.16428571428571,24.9,23.55,22.73,24.9,20.0,23.18166666666667,25.35,20.0,29.166666666666668,30.0,28.05,29.2,30.0,28.05,27.683333333333334,30.0,21.950000000000003,28.01333333333333,31.15,21.950000000000003,21.683333333333334,22.35,20.9,21.307142857142857,22.35,19.75,19.48333333333333,22.35,14.7,19.956666666666663,22.65,14.7,,,,,,,,,,,,,88.5,92.0,85.5,89.0,92.0,85.5,81.8,93.5,55.5,83.56666666666666,93.5,55.5,6.016666666666667,7.449999999999999,4.85,6.442857142857143,8.5,4.5,8.406666666666666,14.05,4.5,8.241666666666667,14.05,4.5,0.0,0.0,0.75,1.75,,,,,8.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.5000000000000004,0.8660254037844384,1.0,5,1,0,0
